physical_cell,execution_count,cell_type,stage,classification,scientific_role,inputs,outputs,frozen_artifacts,output_blocks,source_lines,source_sha256,notes
145,,code,Stage13,packaging,STAGE 13.9C — COMMIT AND PUSH STAGE 13,,,docs/EXPERIMENT_PROTOCOL.md; docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md; docs/STAGE13_MANUSCRIPT_PARAGRAPH.txt; figures/lime/; metadata/lime/; results/lime/; tables/lime/; results/lime/lime_full_panel_summary.csv; metadata/lime/stage13_repository_package_manifest.json,0,707,e0e132fce2d8b8b8758a1ad055ea9c31998b20a8f6274db70c3db8dc7cb0a1de,Physical 1-based order is canonical; execution_count is historical evidence only.
146,,code,Stage13,canonical,PUSH THE EXISTING STAGE 13 COMMIT,,,,0,283,ff1090e4f13800bfe7ef710430e67e37db940133d950ee86ad7b181632df10a7,Physical 1-based order is canonical; execution_count is historical evidence only.
147,,code,Stage14,canonical,STAGE 14.0 — NEURAL MODEL ARTIFACT INVENTORY,,stage14_neural_artifact_inventory.csv; stage14_neural_model_candidates.csv; stage14_environment_metadata.json; \nSaved artifacts:,,0,733,5bce7383b10b190e4f01dbc0259be32d3ab494a1a93d55e1baa622c6133019ee,Physical 1-based order is canonical; execution_count is historical evidence only.
148,,code,Stage14,canonical,STAGE 14.1 — NEURAL CHECKPOINT COMPATIBILITY AUDIT,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nRequired artifacts:; Could not load Keras model: {path}\n; \nLoading MLP checkpoint...,stage14_1_archived_neural_file_audit.csv; \nSplit archive keys:; \nArchived probability reproduction:; \nRelevant archived neural files:; \nSaved artifacts:,models/mlp/mlp_tuned.keras; models/cnn/cnn_tuned.keras; metadata/standard_scaler.joblib; metadata/lime/standard_scaler_reconstructed.joblib; metadata/lime/feature_names.json; metadata/lime/split_indices_reconstructed.npz,0,1696,4ceb9e66a7b2b6a9f74c9add5ca0b02d01a19c077c02def090e1449daeef4299,Physical 1-based order is canonical; execution_count is historical evidence only.
149,,code,Stage14,canonical,STAGE 14.2A — SCALER PROVENANCE AND VALIDATION REPRODUCTION,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nRequired artifacts:,\nSplit archive keys:; \nArchived validation-label alignment:; \nArchived validation-probability reproduction:; \nSaved artifacts:,metadata/lime/feature_names.json; metadata/lime/split_indices_reconstructed.npz; metadata/standard_scaler.joblib; metadata/lime/standard_scaler_reconstructed.joblib; models/mlp/mlp_tuned.keras; models/cnn/cnn_tuned.keras; results/tuning/mlp/mlp_validation_probabilities.csv; results/tuning/cnn/cnn_validation_probabilities.csv,0,1328,e38d7690189e86fa04e143004f98915c47f18b4b4e52f8b4c922d8f861b01e03,Physical 1-based order is canonical; execution_count is historical evidence only.
150,,code,Stage14,recovery,STAGE 14 — KAGGLE SESSION RECOVERY | Restore the published repository after /kaggle/working reset,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nRequired repository artifacts:; \nDataset:; \nNEXT REQUIRED ACTION:\n,,metadata/lime/feature_names.json; metadata/lime/split_indices_reconstructed.npz; metadata/standard_scaler.joblib; models/mlp/mlp_tuned.keras; models/cnn/cnn_tuned.keras; results/tuning/mlp/; results/tuning/cnn/,0,317,9c8a5dab55a8e6b35f9fb7d9b432d355f0651970b6b1c4b7736cf9a04585ca91,Physical 1-based order is canonical; execution_count is historical evidence only.
151,,code,Stage14,canonical,STAGE 14.4A — FULL OUTCOME-STRATIFIED IG PANEL,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nRequired artifacts:,\nSaved artifacts:,metadata/lime/feature_names.json; metadata/lime/split_indices_reconstructed.npz; metadata/standard_scaler.joblib; models/mlp/mlp_tuned.keras; models/cnn/cnn_tuned.keras,0,2450,12de6ce8675e406928e44fd515733ae668439d4a3a3eca3639ea5ccdcf2689c6,Physical 1-based order is canonical; execution_count is historical evidence only.
152,,code,Stage14,canonical,STAGE 14.4B — REFERENCE ROBUSTNESS AND BASELINE SENSITIVITY,\nRequired artifacts:,\nSaved artifacts:,,0,1354,cdd0e9571f94936ee3137ebf48ece445be01ba1bc0032174806fe02fa74f5f29,Physical 1-based order is canonical; execution_count is historical evidence only.
153,26,code,Stage14,packaging,STAGE 14.5A — PUBLICATION ASSETS AND FORMAL FINDINGS,\nRequired artifacts:,,,3,2079,ecf79190bfc9e8e273897d87a3aa6ccf4ab2edd4ba1efdbd0500e7b3357373f4,Physical 1-based order is canonical; execution_count is historical evidence only.
154,,code,Stage14,packaging,STAGE 14.6A — REPOSITORY PACKAGING AND INTEGRITY AUDIT,\nCopied Stage 14 source files:,,results/stage14_integrated_gradients; figures/`:; tables/`:,0,1379,d530cdaf2089bbffa07b027366950ca472e20323daee85651c1e461e1b3a61fd,Physical 1-based order is canonical; execution_count is historical evidence only.
155,,code,Stage14,recovery,STAGE 14 — FULL RUNTIME RECOVERY,/kaggle/input; /kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nSearching /kaggle/input for preserved Stage 14 artifacts...; \nDataset verification:,,metadata/lime/feature_names.json; metadata/lime/split_indices_reconstructed.npz; metadata/standard_scaler.joblib; models/mlp/mlp_tuned.keras; models/cnn/cnn_tuned.keras; results/tuning/mlp/; results/tuning/cnn/,0,418,8fad9e99acc4d4ecc0b87c5f3ef3e20a9f05fb57acb7f0e332ed00ada005c24e,Physical 1-based order is canonical; execution_count is historical evidence only.
156,,code,Stage14,canonical,STAGE 14.2A-R — RECREATE SELECTED PREPROCESSING METADATA,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/,,metadata/lime/feature_names.json; metadata/lime/split_indices_reconstructed.npz; metadata/standard_scaler.joblib; models/mlp/mlp_tuned.keras; models/cnn/cnn_tuned.keras; results/tuning/mlp/mlp_validation_probabilities.csv; results/tuning/cnn/cnn_validation_probabilities.csv,0,541,6414b38a42f0f7a54fd43f40dd18b651319227034b9de2d74fd6b6b31060208b,Physical 1-based order is canonical; execution_count is historical evidence only.
157,,code,Stage14,canonical,"STAGE 14.3A — NEURAL HOLDOUT, CASE PANEL, AND IG BASELINES",/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nRequired artifacts:,\nIG baseline model outputs:; \nSaved artifacts:,metadata/lime/feature_names.json; metadata/lime/split_indices_reconstructed.npz; metadata/standard_scaler.joblib; models/mlp/mlp_tuned.keras; models/cnn/cnn_tuned.keras; results/tuning/mlp/mlp_tuned_validation_result.csv; results/tuning/cnn/cnn_tuned_validation_result.csv,0,1921,ca8045b411aedf75d02cdffc117486ee387bf22fe1d5d66e613ac9d5e6ef3fbd,Physical 1-based order is canonical; execution_count is historical evidence only.
158,,code,Stage14,canonical,STAGE 14.3B — INTEGRATED GRADIENTS CONVERGENCE AUDIT,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nRequired artifacts:,\nSaved artifacts:,metadata/lime/feature_names.json; metadata/lime/split_indices_reconstructed.npz; metadata/standard_scaler.joblib; models/mlp/mlp_tuned.keras; models/cnn/cnn_tuned.keras,0,2060,e3f785e22a5bd422e37109270623ca03055bcec9b1ed713f57d2e33df10fd455,Physical 1-based order is canonical; execution_count is historical evidence only.
159,,code,Stage14,canonical,"STAGE 14.6B — GIT COMMIT, PUSH, AND REMOTE VERIFICATION",,\nPush output:,results/stage14_integrated_gradients,0,412,94da128a5350ed3d3b83c7779ccdcdf0c67d7e6c12e911033bf6bd41866d5277,Physical 1-based order is canonical; execution_count is historical evidence only.
160,,code,Stage14,canonical,"STAGE 14.6B-R — FIX GIT IDENTITY, COMMIT, AND PUSH",,\nPush output:,results/stage14_integrated_gradients,0,246,c6ad8b0cc3ab380887cde87c54a26c715fac783e7a795e5fd3bee1eb4653721a,Physical 1-based order is canonical; execution_count is historical evidence only.
161,,code,Stage14,recovery,STAGE 14.6B-P — AUTHENTICATED PUSH-ONLY RECOVERY,,Paste GitHub PAT with Contents read/write permission:; \nPush output:,,0,351,adc13c4ada9bd9a1a9814beca2f1cafb2277f58532711798c7f208dd96659743,Physical 1-based order is canonical; execution_count is historical evidence only.
162,,code,Stage15,canonical,STAGE 15.0 — TRANSFORMER FEASIBILITY AND LEAKAGE AUDIT,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nRequired artifacts:; \nDataset header:,\nSaved artifacts:,metadata/lime/feature_names.json; metadata/lime/split_indices_reconstructed.npz,0,1770,95d1b650645d92a6885604b74c4ad04d2b2888d0d663f248e4aae7cabc5d42de,Physical 1-based order is canonical; execution_count is historical evidence only.
163,,code,Stage15,canonical,STAGE 15.1 — DUPLICATE-SAFE ALIGNED SPLIT CONSTRUCTION,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nRequired artifacts:,\nSaved artifacts:,metadata/lime/feature_names.json; metadata/lime/split_indices_reconstructed.npz,0,1371,c26b15ab2d0d99a4b2239a298dd24d23850a6b9a1d234f03a41e47bf558c3164,Physical 1-based order is canonical; execution_count is historical evidence only.
164,,code,Stage15,canonical,STAGE 15.2 — TRAINING-ONLY PREPROCESSING AND | NUMERIC FT-TRANSFORMER COMPATIBILITY TEST,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nRequired artifacts:,\nSaved artifacts:,metadata/lime/feature_names.json,0,1676,fa472a5f76186c1e6124ef3b2dda2a9467a167648c4ff21d7b062605a2125790,Physical 1-based order is canonical; execution_count is historical evidence only.
165,,code,Stage15,recovery,STAGE 15.2-R — CPU-ONLY COMPATIBILITY TEST RECOVERY,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nRequired recovery artifacts:,\nSaved artifacts:,,0,920,e5e30a88704dd90de1d5f26684ebabf5ca624a57a131227e46b0d7e455696c87,Physical 1-based order is canonical; execution_count is historical evidence only.
166,,code,Stage15,canonical,STAGE 15.2-G — ISOLATED P100-COMPATIBLE PYTORCH ENVIRONMENT,https://download.pytorch.org/whl/cu118; Required: {MINIMUM_FREE_DISK_GB:.1f} GB\n,\nSaved artifacts:,,0,911,e8afbc3aced035ff9fa9658a132b6fbb42cfcb5966f6d17175857dd837b4457e,Physical 1-based order is canonical; execution_count is historical evidence only.
167,,code,Stage15,canonical,STAGE 15.2-GD — ISOLATED PYTORCH DIAGNOSIS,\nRequired artifacts:,,,0,597,591341c6a5495261edf9b7b5ee4ebcd7f4c0cb6fc6a172cb2e45e2492ca99e91,Physical 1-based order is canonical; execution_count is historical evidence only.
168,,code,Stage15,canonical,STAGE 15.2-GR — CLEAN-KERNEL GPU VERIFICATION,,\nSaved artifacts:,,0,458,c44a0646c7d5c837fa39d97e026e23ad63d9a4443ca06d6068467f9ab26f756f,Physical 1-based order is canonical; execution_count is historical evidence only.
169,27,code,Stage15,canonical,STAGE 15.2-GC — ORPHAN GPU PROCESS CLEANUP,,,,1,370,efe76d04875963c70afec097df61ab16722a2c9f475f42ad44e80f4e432aa233,Physical 1-based order is canonical; execution_count is historical evidence only.
170,28,code,Stage15,canonical,STAGE 15.2-BK — PRE-RESET REPOSITORY CHECKPOINT,\nRequired roots:; Source-to-package hash verification failed:\n,,results/stage15_transformer_checkpoint,1,826,6ca775a4a99e78ac3eed5fc49dc2c41ae909911a71e959bad520e25a201d6922,Physical 1-based order is canonical; execution_count is historical evidence only.
171,23,code,Stage16,packaging,"STAGE 16.1B — PRETRAINING PROTOCOL LOCK, | PACKAGE, COMMIT, AND PUSH | No model training. | Large matrix caches are verified but not committed.",Required Stage 16.1B artifacts are missing:\n,Paste GitHub PAT with Contents read/write permission:; \nPush output:,results/stage16_classical_benchmark_checkpoint,2,1790,9091dea2a7f2469d18c4418d7415c4ed9c94c7faa657dda504e45a65637d76ec,Physical 1-based order is canonical; execution_count is historical evidence only. Approved override: Stage16 cell inside the Stage15 physical sequence.
172,1,code,Stage15,recovery,STAGE 15.2-RS — FRESH-SESSION RESTORE AND GPU VERIFICATION,https://download.pytorch.org/whl/cu118; Required: {MINIMUM_DISK_FREE_GB:.1f} GB\n,Unexpected nvidia-smi output:\n,results/stage15_transformer_checkpoint,4,931,66e6d6959ca9aa4a0cba7558963b59c046eb80715fd14ce7fb87a877b5457c08,Physical 1-based order is canonical; execution_count is historical evidence only.
173,2,code,Stage15,recovery,STAGE 15.2-RS2 — CORRECTED CHECKPOINT RESTORE | AND P100 GPU VERIFICATION,https://download.pytorch.org/whl/cu118; \nRequired artifacts:; Required: {MINIMUM_DISK_FREE_GB:.1f} GB\n,Unexpected nvidia-smi output:\n,results/stage15_transformer_checkpoint,3,1084,64c6ba377fc30ebd448c99b94cc2a8b5c288d221c6d0ad13ac82c379059e78d9,Physical 1-based order is canonical; execution_count is historical evidence only.
174,3,code,Stage15,canonical,STAGE 15.3A — FT-TRANSFORMER ARCHITECTURE BENCHMARK | TRAINING AND VALIDATION ONLY,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nRequired artifacts:,Unexpected nvidia-smi output:\n; \nSaved artifacts:; {return_code}.\n\nLast output:\n; Benchmark outputs are missing:\n,,1,2516,7e877334a29af00884c4157b3af310e8634560f97018ee8fd371b566bfddd594,Physical 1-based order is canonical; execution_count is historical evidence only.
175,4,code,Stage15,canonical,STAGE 15.3B — FT-TRANSFORMER CONVERGENCE EXTENSION AUDIT | TRAINING AND VALIDATION ONLY,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nRequired artifacts:,Unexpected nvidia-smi output:\n; \nSaved artifacts:; {return_code}.\n\nLast output:\n; Missing convergence outputs:\n; \n,,1,2262,5cf55b0821ed8d735337606245dc28e8deb1ba745acc3452fd870bff58ed179a,Physical 1-based order is canonical; execution_count is historical evidence only.
176,5,code,Stage15,packaging,STAGE 15.3-PK — PACKAGE AND PUSH ARCHITECTURE RESULTS,Required Stage 15 artifacts are missing:\n,Paste GitHub PAT with Contents read/write permission:,results/stage15_transformer_checkpoint,2,994,6fb55bac9c389240c9adff06f995ec0941845505a6143357c15a59fbf4e854bf,Physical 1-based order is canonical; execution_count is historical evidence only.
177,6,code,Stage15,recovery,STAGE 15.3-PK-R — RESUME PACKAGE COMMIT AND PUSH,,Paste GitHub PAT with Contents read/write permission:; \nPush output:,results/stage15_transformer_checkpoint,3,695,0af3b8c6ce11bc8aac69fb7b227e83b30b52ebf5137bc9faf39c9d2ed4476ad7,Physical 1-based order is canonical; execution_count is historical evidence only.
178,7,code,Stage15,canonical,STAGE 15.4A — INDEPENDENT MULTI-SEED ARCHITECTURE CONFIRMATION | TRAINING AND VALIDATION ONLY,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nRequired artifacts:,Unexpected nvidia-smi output:\n; \nSaved artifacts:; {return_code}.\n\nLast output:\n; Missing Stage 15.4A outputs:\n; \n,,1,2990,65de836fccbfedf4f678a0bf34588f54bb04edc0623cf22fa9587888870cffd7,Physical 1-based order is canonical; execution_count is historical evidence only.
179,8,code,Stage15,packaging,STAGE 15.4-PK — PACKAGE AND PUSH MULTI-SEED RESULTS,Required Stage 15.4A artifacts are missing:\n,Paste GitHub PAT with Contents read/write permission:; \nPush output:,results/stage15_transformer_checkpoint,3,1226,9f93bfad9782a76ea524df1f94d872e24d2c569886cd9a79af72b02dd6a9c074,Physical 1-based order is canonical; execution_count is historical evidence only.
180,9,code,Stage15,repair,STAGE 15.4B — FT_BALANCED SEED-7 CONVERGENCE REPAIR | TRAINING AND VALIDATION ONLY,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nRequired artifacts:,Unexpected nvidia-smi output:\n; \nSaved artifacts:; {return_code}.\n\nLast output:\n; Missing Stage 15.4B outputs:\n; \n,,2,2488,2562476f2e165d725d069f7ca22aa0f59e9d76fff830a2ca71cc4c4052a30ee0,Physical 1-based order is canonical; execution_count is historical evidence only.
181,10,code,Stage15,repair,STAGE 15.4B-R1 — RNG STATE COMPATIBILITY PATCH | AND CONVERGENCE-REPAIR RESUME,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; Required recovery artifacts are missing:\n; \nSource checkpoint:,{return_code}.\n\nLast output:\n; Missing convergence-repair outputs:\n; \n,,1,758,602f54148724b54c063a322fe48c2b542cb70b71fb7798c3c1ac7d95ffe5a07f,Physical 1-based order is canonical; execution_count is historical evidence only.
182,11,code,Stage15,packaging,"STAGE 15.4B-PK — REAGGREGATE, PACKAGE, COMMIT, AND PUSH",Required artifacts are missing:\n,Paste GitHub PAT with Contents read/write permission:; \nPush output:,results/stage15_transformer_checkpoint,3,1722,c68cad4eb8574b14ea4fad200e291b6cd8d2d269b623cca9fb348b006976ccc6,Physical 1-based order is canonical; execution_count is historical evidence only.
183,12,code,Stage15,canonical,STAGE 15.4C — FINAL FIVE-SEED ARCHITECTURE CONFIRMATION | NEW SEEDS 313 AND 997; TRAINING/VALIDATION ONLY,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nRequired artifacts:; loader_generator\.set_state\(\s*,Unexpected nvidia-smi output:\n; exit code {return_code}.\n\nLast output:\n; Missing final-seed batch outputs:\n; \nSaved artifacts:,,2,1962,31ba72ef683885e4a4ce8a46b89b835e201babb8602512e12180340eb456484b,Physical 1-based order is canonical; execution_count is historical evidence only.
